Sample	total	total_yield	perfectIndex	yieldQ30	qscore_sum	R1_yield	R1_Q30	R1_trimmed_bases	R2_yield	R2_Q30	R2_trimmed_bases	percent_Q30	percent_perfectIndex	mean_qscore
0701237901	68480399	20681080498	66846120	18984476189	734597932596	10340540249	9620714418	0	10340540249	9363761771	0	91.79634589612436	97.61350835587275	35.520287862476074
0701237911	72997035	22045104570	71337804	20298400721	784339256938	11022552285	10235962347	0	11022552285	10062438374	0	92.07668149881677	97.72698850028635	35.578840392772065
0701237921	76475378	23095564156	70804069	21063096572	818049958312	11547782078	10690851520	0	11547782078	10372245052	0	91.19974913679697	92.5841373415637	35.42021977841484
0701237931	71937069	21724994838	70256658	19931630395	771691538959	10862497419	10064585147	0	10862497419	9867045248	0	91.7451559534405	97.66405411930252	35.52090781670546
0701237941	73294934	22135070068	71601005	20125893249	782704096487	11067535034	10242375198	0	11067535034	9883518051	0	90.92310612603569	97.68888665620464	35.36036227048278
0701237951	77589014	23431882228	75697337	21497112460	832289503983	11715941114	10897837159	0	11715941114	10599275301	0	91.74300319037947	97.56192674390732	35.51953257039049
0701237961	69240057	20910497214	67890885	19121838166	741215426213	10455248607	9658477601	0	10455248607	9463360565	0	91.44611900092717	98.05145740997874	35.447049327776924
0701237971	80857581	24418989462	78745978	22334858601	865933172072	12209494731	11380222762	0	12209494731	10954635839	0	91.4651224030247	97.38849100618036	35.46146630758557
0701237981	63823844	19274800888	62036081	17452887891	680179309715	9637400444	8938831572	0	9637400444	8514056319	0	90.54769484994122	97.1989104886882	35.28852586687224
0701237991	82547677	24929398454	80940393	22615359956	880470273243	12464699227	11555716521	0	12464699227	11059643435	0	90.71763202682212	98.05290220341392	35.31855270666291
0701238001	72645518	21938946436	70987527	19939500264	775308531444	10969473218	10140793170	0	10969473218	9798707094	0	90.88631636057475	97.71769677518164	35.3393693587666
0701238011	76373885	23064913270	74265434	21010770000	815831685707	11532456635	10695332548	0	11532456635	10315437452	0	91.09407763231533	97.23930372273193	35.37111439166491
undetermined	38385212	11592334024	0	7347265501	342753856616							63.38038125703338	0.0	29.56728609668986
