Sample	bcl2fastq_mqc-generalstats-bcl2fastq-total	bcl2fastq_mqc-generalstats-bcl2fastq-yieldQ30	bcl2fastq_mqc-generalstats-bcl2fastq-percent_R1_Q30	bcl2fastq_mqc-generalstats-bcl2fastq-percent_R2_Q30	bcl2fastq_mqc-generalstats-bcl2fastq-perfectPercent	bcl2fastq_mqc-generalstats-bcl2fastq-R1_trimmed_bases	bcl2fastq_mqc-generalstats-bcl2fastq-R2_trimmed_bases
0701237901	68480399	18984476189	93.0	90.6	97.6	0	0
0701237911	72997035	20298400721	92.9	91.3	97.7	0	0
0701237921	76475378	21063096572	92.6	89.8	92.6	0	0
0701237931	71937069	19931630395	92.7	90.8	97.7	0	0
0701237941	73294934	20125893249	92.5	89.3	97.7	0	0
0701237951	77589014	21497112460	93.0	90.5	97.6	0	0
0701237961	69240057	19121838166	92.4	90.5	98.1	0	0
0701237971	80857581	22334858601	93.2	89.7	97.4	0	0
0701237981	63823844	17452887891	92.8	88.3	97.2	0	0
0701237991	82547677	22615359956	92.7	88.7	98.1	0	0
0701238001	72645518	19939500264	92.4	89.3	97.7	0	0
0701238011	76373885	21010770000	92.7	89.4	97.2	0	0
undetermined	38385212	7347265501			0.0		
